borrower_id,name,age,city,employment_type,employment_years,monthly_income,household_size,dependents,requested_amount,tenure_months,purpose,first_time_borrower,prev_loans,loans_repaid,late_payments,avg_delay_days,defaults,max_days_past_due,avg_income_6m,avg_expenses_6m,avg_debt_6m,income_volatility,expense_trend,debt_trend,total_transactions_6m,bounced_payments_6m,disputed_txns_6m,id_verification,address_verification,phone_verification,bank_stmt_status,income_doc_status,doc_quality_score,transaction_variance,night_txn_ratio,new_device_90d,applications_30d,address_changes_12m,doc_avg_income,vouches_count,avg_vouch_trust,community_tenure_years,group_memberships,guarantor_past_count,account_age_months,prev_lenders_count,disputes_raised,disputes_lost,ontime_streak_months,salary_credits_6m,savings_balance,existing_debt_accounts
B10011,Ishaan Yadav,36,Bengaluru,daily-wage,1.5,43179,2,2,189000,18,medical,0,2,0,2,24.1,2,51,40111,30036,36364,0.131,0.0935,0.0045,393,1,0,2,1,0,1,0,44,0.254,0.261,0,1,0,54244,3,4.8,1.4,0,0,80,2,1,0,4,0,0,5
B10012,Deepak Pillai,33,Mumbai,business,1.1,29468,3,1,75000,18,home-repair,1,0,0,0,0.8,0,0,28784,21382,27770,0.018,0.0369,-0.0316,341,2,0,2,0,2,2,2,58,0.328,0.058,0,1,0,29366,3,3.6,5.0,1,0,110,2,1,0,2,4,0,2
B10013,Suresh Gupta,50,Delhi,self-employed,5.9,54159,5,1,83000,12,education,0,4,4,2,13.5,0,48,53284,32590,19640,0.042,-0.0189,-0.0037,314,0,0,2,2,2,2,0,54,0.363,0.026,0,4,1,53881,5,3.6,3.3,4,0,17,2,0,0,29,1,151353,0
B10014,Anil Iyer,29,Surat,daily-wage,1.1,18343,6,2,147000,3,medical,1,0,0,0,0.5,0,0,17014,12614,11574,0.05,0.0958,0.0769,432,3,0,2,0,0,1,0,56,0.161,0.084,0,1,0,16383,0,0,4.4,2,1,52,1,1,0,0,0,9461,0
B10015,Kabir Nair,27,Mumbai,salaried,4.3,31624,3,2,191000,6,education,0,4,3,1,19.6,1,24,30509,21055,17495,0.051,-0.0603,-0.3931,442,1,2,2,1,2,2,2,49,0.112,0.052,0,1,0,31691,3,4.3,4.4,1,1,118,0,0,0,3,6,46945,1
B10016,Krishna Bose,24,Pune,business,12.7,94191,5,4,145000,24,medical,0,2,2,1,26.4,0,7,93612,56477,28556,0.046,-0.0155,0.0812,295,0,0,2,2,2,2,2,76,0.333,0.083,0,1,0,99796,4,4.7,7.5,2,0,45,3,0,0,17,2,183517,0
B10017,Meera Verma,30,Chennai,self-employed,2.9,24627,4,2,160000,3,education,0,4,2,2,29.5,2,9,23752,16604,22837,0.119,0.0715,0.0385,347,2,1,1,2,2,2,2,58,0.276,0.063,1,3,0,35627,0,0,8.3,4,0,76,1,1,0,8,4,13553,1
B10018,Geeta Rao,35,Hyderabad,salaried,6.8,31900,1,4,123000,24,education,0,4,4,0,1.8,0,0,32516,22403,7673,0.065,0.0502,0.162,340,0,0,2,1,2,2,2,73,0.247,0.035,0,1,0,29391,4,3.9,2.3,1,3,81,4,1,0,9,6,34795,1
B10019,Amit Das,30,Bengaluru,self-employed,2.1,39120,4,4,111000,18,home-repair,0,3,3,0,4.8,0,0,37679,23982,15246,0.075,-0.0372,0.0031,315,0,0,2,1,2,2,2,87,0.247,0.059,0,1,0,40455,6,3.9,1.9,3,0,58,1,1,1,9,2,5660,2
B10020,Nikhil Patel,32,Chennai,self-employed,5.7,18847,1,2,47000,12,business,0,1,1,0,3.4,0,0,18214,11379,5115,0.052,-0.0094,0.0592,303,0,0,2,1,2,2,2,47,0.269,0.091,0,1,0,19358,6,3.8,11.8,1,1,97,0,1,1,20,4,12217,0
B10021,Sneha Yadav,59,Chennai,self-employed,1.4,31580,2,1,246000,12,home-repair,0,1,1,0,0.6,0,0,32369,23553,23584,0.043,-0.0601,0.1598,322,2,0,2,0,2,0,2,64,0.376,0.04,0,1,0,29920,1,4.0,2.6,2,1,117,1,1,0,3,3,0,0
B10022,Pooja Sharma,39,Bengaluru,self-employed,3.5,39699,5,3,146000,12,personal,0,2,2,1,29.9,0,30,40135,26598,10949,0.046,0.032,-0.0304,334,0,0,2,2,2,2,2,61,0.422,0.036,0,2,0,40266,4,4.3,6.6,3,2,63,0,1,1,26,3,44195,2
B10023,Ira Verma,30,Chennai,self-employed,5.2,31936,1,3,68000,6,business,0,2,2,2,28.7,0,11,31274,24377,23925,0.04,0.0302,0.003,382,0,0,2,0,2,2,1,60,0.264,0.042,0,1,0,34052,1,3.8,6.9,4,1,26,4,0,0,0,4,45774,1
B10024,Diya Agarwal,41,Chennai,daily-wage,1.4,27026,6,4,225000,3,home-repair,0,6,4,3,12.4,2,40,28562,18672,17891,0.04,0.0546,-0.1758,399,0,1,0,1,1,1,1,86,0.159,0.282,1,1,0,27918,2,4.9,4.3,4,0,40,2,1,0,6,3,75550,2
B10025,Kabir Mehta,32,Delhi,salaried,0.5,43912,1,0,232000,12,business,0,6,3,6,14.8,2,35,44683,33423,31641,0.103,0.0255,0.0688,332,2,2,0,1,2,0,2,45,0.327,0.125,0,2,1,65406,3,4.1,8.5,4,0,82,2,0,0,9,3,0,4
B10026,Sai Nair,39,Bengaluru,salaried,7.6,36894,4,4,116000,12,personal,0,6,6,0,0.2,0,0,34917,22909,9784,0.048,0.0487,-0.063,415,0,0,2,2,2,2,2,75,0.232,0.066,0,1,0,30940,6,3.7,3.7,1,2,81,3,1,0,22,6,116236,0
B10027,Kavya Verma,23,Delhi,self-employed,1.8,15758,5,4,33000,24,personal,0,1,1,0,4.8,0,0,16284,11563,9763,0.061,0.0292,-0.179,348,0,0,0,0,2,0,2,67,0.304,0.269,0,3,0,14590,0,0,11.4,0,0,56,1,0,0,0,4,34176,3
B10028,Reyansh Kulkarni,34,Kolkata,self-employed,3.4,46165,5,4,174000,3,personal,0,5,5,2,21.5,0,49,43687,28390,13710,0.065,0.0282,0.0458,313,0,0,2,2,2,1,2,73,0.31,0.102,0,1,0,46097,6,4.8,5.3,4,2,53,1,0,0,7,3,80232,0
B10029,Amit Mishra,38,Delhi,self-employed,2.9,24298,5,1,169000,3,business,0,2,1,4,20.1,0,48,24706,17328,17198,0.073,0.0697,-0.0659,322,0,0,0,1,2,2,2,58,0.375,0.256,0,2,0,23444,3,4.7,10.5,4,0,44,4,0,0,3,3,31287,2
B10030,Rohan Sharma,46,Delhi,business,0.1,67193,3,0,500000,3,education,0,6,2,5,9.5,3,48,62119,46985,51056,0.124,0.0747,0.0322,345,1,1,2,1,0,2,2,71,0.194,0.278,1,3,0,49412,2,4.0,6.0,1,1,49,0,3,3,3,2,79517,0
B10031,Kavitha Sharma,42,Indore,salaried,7.9,94480,2,2,243000,3,home-repair,0,3,3,0,3.2,0,0,92991,54018,26725,0.048,0.0171,0.0676,320,0,0,2,2,2,2,2,92,0.32,0.104,0,2,2,83392,5,3.7,10.0,4,3,56,3,1,1,20,6,351045,0
B10032,Rajesh Kulkarni,38,Ahmedabad,self-employed,4.8,29790,5,0,85000,24,home-repair,0,5,5,0,1.3,0,0,28220,17550,9450,0.048,-0.0357,-0.1173,354,0,0,1,1,1,0,1,88,0.348,0.091,0,2,0,25748,5,3.7,8.0,3,3,60,0,1,1,26,2,78486,1
B10033,Sara Patel,33,Hyderabad,salaried,3.1,37812,1,1,228000,12,education,0,2,1,4,25.5,0,23,39691,24548,31327,0.082,-0.0188,-0.0157,438,3,1,0,1,2,2,2,59,0.138,0.104,0,2,1,37385,1,3.6,7.2,4,0,59,1,0,0,6,6,28805,3
B10034,Aadhya Iyer,33,Delhi,salaried,1.7,34052,1,1,270000,12,medical,0,5,2,6,24.3,2,42,34474,20097,26039,0.065,0.0146,-0.0697,299,0,0,2,2,0,2,2,50,0.437,0.202,0,1,0,43548,1,3.6,1.9,3,0,60,4,0,0,6,5,80952,5
B10035,Vihaan Mehta,39,Delhi,salaried,6.6,26242,5,2,41000,18,medical,0,3,3,2,27.0,0,47,25499,15513,9481,0.078,-0.0826,0.1259,257,0,0,2,2,1,1,2,70,0.377,0.057,0,2,0,24586,3,4.2,7.5,3,1,91,4,0,0,6,6,41843,1
B10036,Myra Agarwal,24,Bengaluru,self-employed,2.0,31185,3,0,75000,24,medical,0,1,1,0,2.5,0,0,34328,20337,20438,0.07,-0.0403,-0.0498,300,1,0,1,0,0,2,0,55,0.255,0.12,0,1,0,31309,1,3.5,5.4,3,0,22,0,0,0,0,1,49464,1
B10037,Kavitha Chopra,40,Ahmedabad,salaried,2.5,44369,2,4,375000,12,education,0,3,2,2,28.5,1,7,42158,26049,48003,0.077,0.0363,-0.0102,345,1,1,2,0,2,0,2,58,0.138,0.226,0,5,0,54435,3,4.0,10.2,1,0,37,2,2,2,0,5,107964,2
B10038,Kiran Khan,39,Chennai,salaried,8.7,76446,4,3,179000,6,medical,0,4,4,0,4.0,0,0,72572,41172,22958,0.05,0.031,0.1013,430,1,0,2,2,2,2,2,85,0.163,0.052,0,4,1,67979,4,4.2,3.9,1,0,49,0,0,0,17,6,256191,2
B10039,Ira Rao,19,Chennai,self-employed,5.0,79621,1,3,182000,24,personal,0,2,2,0,1.5,0,0,79237,50072,31051,0.033,-0.0038,-0.1007,389,1,0,2,2,2,2,2,80,0.191,0.058,0,1,0,74701,4,3.8,4.0,0,1,93,0,0,0,30,3,177529,2
B10040,Krishna Gupta,36,Bengaluru,daily-wage,1.2,43392,4,1,385000,24,business,0,5,5,2,23.7,0,14,42273,28251,45301,0.091,-0.0092,-0.078,408,1,1,2,2,1,2,0,53,0.227,0.278,0,1,1,43814,2,4.0,10.3,0,0,26,3,1,1,7,4,79931,5
B10041,Reyansh Kulkarni,41,Mumbai,self-employed,1.0,13314,3,2,75000,12,business,1,0,0,0,3.9,0,0,14065,7830,11318,0.045,-0.0258,0.0307,361,0,2,1,1,2,2,0,47,0.264,0.139,0,1,0,14215,3,4.0,6.7,4,1,75,0,1,1,2,0,48666,3
B10042,Sai Sharma,46,Lucknow,business,6.7,61528,4,2,203000,12,medical,0,5,5,1,21.2,0,42,60078,37132,20169,0.057,-0.0157,0.006,337,0,0,1,2,1,2,1,64,0.228,0.105,0,1,0,51878,6,4.8,11.9,1,2,105,1,0,0,15,1,108892,1
B10043,Nikhil Iyer,36,Pune,self-employed,0.9,17861,3,0,40000,6,medical,0,1,1,0,1.9,0,0,18607,13169,13759,0.095,0.0535,0.1562,225,1,1,1,0,1,1,2,75,0.294,0.052,0,1,0,16040,1,3.8,8.5,0,1,57,0,1,0,4,0,42774,4
B10044,Arjun Patel,35,Delhi,business,6.5,96833,3,2,261000,6,personal,0,2,2,1,27.7,0,42,101308,62427,23733,0.065,-0.0673,0.241,268,0,0,2,2,2,2,2,86,0.299,0.036,0,1,1,109982,5,3.8,5.2,2,0,105,1,1,1,9,3,258740,1
B10045,Myra Iyer,31,Hyderabad,business,0.3,18448,4,1,86000,18,home-repair,0,6,4,3,13.0,2,42,18424,12881,11274,0.186,0.108,-0.2204,309,1,0,0,0,2,2,0,55,0.104,0.047,0,1,0,17549,2,4.3,5.1,0,0,108,3,1,1,1,4,4991,1
B10046,Rahul Reddy,26,Mumbai,daily-wage,8.5,55033,1,2,83000,12,home-repair,0,6,6,0,4.8,0,0,58589,42660,18408,0.078,0.0597,0.0126,255,0,0,1,2,2,2,2,79,0.151,0.087,0,2,1,58159,4,4.8,5.6,0,0,14,1,0,0,11,1,215517,1
B10047,Sunita Rao,22,Chennai,self-employed,3.0,49873,6,0,174000,12,personal,0,6,6,2,14.1,0,33,49940,34158,14494,0.083,0.0037,-0.0802,363,0,0,1,2,2,2,2,58,0.205,0.042,0,1,0,46417,5,4.3,5.4,2,1,107,2,1,1,14,4,127790,2
B10048,Divya Rao,19,Kolkata,salaried,5.6,17574,3,1,98000,18,home-repair,0,1,0,4,22.8,0,6,17508,12714,12617,0.107,0.0986,-0.0674,372,2,1,2,2,2,2,1,41,0.113,0.28,0,2,0,15200,0,0,4.1,3,1,54,0,1,0,5,6,7100,1
B10049,Suresh Nair,31,Mumbai,self-employed,3.7,33260,5,4,115000,24,home-repair,0,1,1,3,23.3,0,44,30808,19028,19467,0.065,-0.0084,0.0517,400,1,0,2,1,2,2,2,60,0.264,0.201,0,1,1,27025,1,3.9,10.7,0,0,108,4,0,0,7,1,1949,0
B10050,Arun Khan,19,Mumbai,business,0.2,13576,6,3,90000,18,home-repair,0,1,1,0,2.5,0,0,13520,9137,12824,0.071,0.0619,0.1079,358,0,1,2,0,2,0,0,82,0.334,0.084,0,1,0,12979,1,4.0,8.9,0,0,56,2,0,0,6,3,17454,1
B10051,Aarav Chopra,34,Hyderabad,salaried,6.1,71299,5,0,110000,12,medical,0,3,3,1,19.6,0,35,68452,41416,18676,0.074,0.06,0.0149,351,0,1,2,2,2,2,2,99,0.31,0.055,0,3,1,71339,6,3.6,2.5,3,1,110,0,1,1,13,6,183034,0
B10052,Divya Agarwal,39,Mumbai,self-employed,10.0,57606,5,1,229000,6,business,0,4,4,1,18.7,0,38,58557,36678,16994,0.047,0.0376,-0.1281,318,0,0,2,1,2,2,2,93,0.281,0.049,1,1,0,61542,3,4.4,8.4,2,1,82,1,0,0,29,2,253226,2
B10053,Vikram Mishra,46,Bengaluru,daily-wage,3.3,21631,5,2,54000,3,business,0,5,5,0,2.3,0,0,20672,14356,7319,0.053,0.0206,-0.1198,336,1,0,2,1,2,1,2,83,0.314,0.094,0,1,0,18604,3,4.8,4.9,0,0,111,3,0,0,31,2,12320,2
B10054,Geeta Gupta,38,Mumbai,business,4.6,60492,5,4,150000,12,business,0,5,5,0,2.5,0,0,56135,32602,14720,0.039,0.0831,0.1719,419,0,1,2,2,2,2,2,74,0.189,0.036,0,1,1,49104,2,4.2,4.7,2,2,72,2,1,0,18,2,57903,2
B10055,Ira Patel,30,Kolkata,daily-wage,4.0,32709,4,2,62000,18,medical,0,3,3,1,20.4,0,12,33199,22289,8648,0.043,-0.0189,-0.0476,323,0,0,2,2,2,2,2,73,0.314,0.112,0,1,1,31181,4,4.3,2.5,4,1,75,3,1,1,33,3,46935,2
B10056,Priya Agarwal,48,Ahmedabad,salaried,6.4,76452,4,1,208000,18,medical,0,6,6,0,3.4,0,0,75708,45231,21320,0.026,0.0152,0.1757,319,0,0,2,2,2,2,2,82,0.353,0.12,0,2,0,79483,3,3.6,9.5,0,3,31,2,1,0,9,6,284705,2
B10057,Lakshmi Agarwal,47,Kolkata,salaried,3.6,43477,6,1,121000,6,medical,0,6,6,2,5.1,0,56,45928,25274,8640,0.063,0.0331,0.0627,354,0,0,2,1,2,2,2,69,0.353,0.055,0,1,1,41181,6,3.7,6.8,3,2,100,4,1,1,6,6,25513,2
B10058,Kavya Singh,33,Hyderabad,self-employed,4.9,27705,6,3,69000,6,personal,0,4,4,2,8.0,0,20,26029,14563,9539,0.043,0.0146,-0.0416,358,0,0,2,2,2,2,2,80,0.396,0.031,0,1,0,24826,5,4.8,2.8,1,3,66,1,1,1,33,4,74802,1
B10059,Divya Reddy,39,Kochi,salaried,5.8,51600,2,2,109000,3,medical,0,4,3,4,4.9,0,20,52780,37586,39199,0.079,-0.0423,-0.0725,319,2,0,2,0,2,1,1,74,0.33,0.197,0,1,0,53227,1,4.0,8.7,1,0,84,3,1,0,2,6,0,2
B10060,Ira Agarwal,35,Pune,self-employed,6.5,57062,5,0,167000,12,home-repair,0,4,4,2,9.2,0,26,53860,34866,14576,0.056,0.0541,-0.1954,275,1,0,2,2,2,2,2,71,0.453,0.086,1,1,0,53631,6,3.9,6.1,0,0,53,2,1,0,6,5,58045,1
B10061,Sneha Bose,44,Hyderabad,business,3.5,119569,5,4,226000,6,medical,0,6,6,1,12.7,0,26,117928,79508,37706,0.054,-0.0442,-0.0092,339,0,0,2,2,2,2,2,69,0.322,0.104,0,1,0,105667,5,4.9,4.3,2,1,96,0,0,0,6,4,319507,2
B10062,Myra Yadav,36,Jaipur,self-employed,10.8,65510,1,2,129000,3,personal,0,3,3,1,16.8,0,12,68234,49509,19498,0.089,0.0443,-0.0187,317,0,0,2,2,2,2,2,99,0.264,0.066,0,1,0,73414,3,4.7,11.3,4,1,54,2,1,0,11,4,147698,2
B10063,Reyansh Das,26,Hyderabad,self-employed,12.5,80343,4,1,196000,18,medical,0,6,6,0,1.9,0,0,80706,45606,23196,0.047,-0.0195,0.0723,313,0,0,2,2,1,2,2,95,0.348,0.089,0,2,0,80930,5,4.6,5.0,0,0,94,2,1,1,30,3,349020,2
B10064,Reyansh Reddy,31,Mumbai,business,5.6,29433,3,0,102000,12,education,0,1,1,1,22.8,0,38,27770,18278,10706,0.06,-0.0161,0.0766,286,0,1,2,2,2,2,1,77,0.445,0.083,0,1,0,26947,5,4.9,1.6,4,2,73,2,0,0,23,2,0,1
B10065,Sai Iyer,25,Lucknow,business,4.5,43600,4,0,200000,18,medical,0,3,3,1,6.3,0,53,41684,29921,37610,0.049,0.0288,-0.0942,375,2,0,2,2,2,2,2,63,0.309,0.024,0,1,0,38283,2,4.3,4.0,2,0,30,2,1,1,0,0,69025,3
B10066,Manoj Kulkarni,32,Bengaluru,salaried,2.0,24894,4,0,72000,18,education,0,5,4,1,23.6,1,30,23383,19136,12264,0.045,-0.0464,-0.039,364,2,1,2,2,0,2,2,55,0.322,0.227,0,2,0,23790,3,4.0,2.1,3,0,45,3,0,0,6,6,15460,4
B10067,Lakshmi Nair,35,Mumbai,salaried,1.6,27826,4,4,226000,6,medical,0,4,0,6,15.6,3,16,28644,22524,26542,0.142,0.023,-0.1716,313,1,1,0,0,0,0,2,66,0.355,0.215,0,2,0,39918,3,4.3,6.0,2,0,32,4,0,0,8,1,0,5
B10068,Rahul Iyer,34,Pune,self-employed,1.7,30294,1,1,79000,12,personal,0,5,5,3,6.0,0,53,29459,20666,31294,0.071,0.0286,-0.1535,343,3,0,1,1,2,2,1,58,0.177,0.029,0,4,0,28925,1,4.8,9.3,3,1,37,3,0,0,5,2,55413,0
B10069,Rahul Nair,31,Delhi,self-employed,4.3,34093,2,3,96000,24,personal,0,3,3,1,13.9,0,22,33490,19574,9954,0.036,-0.0223,-0.108,420,0,0,1,2,2,1,2,96,0.128,0.045,0,3,0,34291,4,4.7,8.6,2,2,29,0,1,0,17,2,26052,0
B10070,Arjun Agarwal,45,Pune,self-employed,1.5,42855,1,1,160000,12,education,0,4,4,3,5.9,0,36,44874,32835,28400,0.061,-0.0344,-0.0008,469,2,1,2,0,2,2,2,44,0.106,0.074,0,1,0,39713,0,0,9.7,2,1,69,3,0,0,3,2,0,5
B10071,Suresh Mehta,19,Mumbai,salaried,10.8,55419,2,0,173000,3,personal,0,5,5,0,1.2,0,0,55573,30830,16317,0.081,0.0065,-0.1152,322,0,0,2,2,1,2,2,84,0.34,0.068,0,1,0,58244,5,4.1,11.3,4,0,76,3,0,0,16,6,249578,0
B10072,Sara Chopra,47,Pune,daily-wage,0.4,21210,4,3,160000,12,education,1,0,0,0,1.0,0,0,19722,12176,13112,0.073,0.0385,-0.1892,279,1,1,2,2,2,2,2,73,0.286,0.051,0,1,0,18147,1,4.8,7.6,4,0,74,4,0,0,4,4,30961,3
B10073,Sara Mehta,36,Hyderabad,daily-wage,4.0,43902,3,2,313000,12,education,0,2,2,1,5.1,0,59,43981,26668,40345,0.054,-0.0341,0.0369,360,1,1,1,2,0,1,2,74,0.355,0.051,0,1,0,47148,1,4.5,8.8,4,0,26,2,0,0,6,5,30522,4
B10074,Sara Rao,44,Pune,self-employed,2.3,49281,6,0,109000,12,personal,0,6,6,2,21.6,0,34,47886,29866,14886,0.034,0.0604,0.1131,297,0,0,2,2,2,2,1,77,0.409,0.082,0,1,0,52151,3,4.8,8.6,1,1,37,0,1,0,19,2,91503,0
B10075,Deepak Kulkarni,48,Mumbai,salaried,7.6,42724,1,4,167000,12,home-repair,0,2,2,1,28.1,0,13,43381,26333,12429,0.041,0.0404,-0.2142,418,0,0,2,2,1,2,2,69,0.322,0.107,0,2,0,47475,5,4.7,4.2,3,3,27,4,0,0,12,6,90082,1
B10076,Rajesh Singh,35,Pune,self-employed,5.6,41134,3,1,319000,6,home-repair,0,2,1,2,11.5,1,31,41509,28374,24622,0.07,0.035,0.1538,398,2,0,0,2,2,2,0,37,0.209,0.046,0,1,1,37184,2,3.9,8.7,2,0,69,2,0,0,1,2,43256,2
B10077,Lakshmi Mishra,21,Indore,daily-wage,1.4,17591,3,4,147000,3,business,1,0,0,0,2.1,0,0,16674,12582,10652,0.087,0.0607,-0.1621,328,3,0,2,2,2,0,0,68,0.426,0.16,0,1,0,14842,0,0,10.0,0,0,89,2,0,0,9,0,15965,1
B10078,Reyansh Mishra,30,Delhi,salaried,4.4,88909,6,0,248000,12,medical,0,4,4,0,2.3,0,0,84954,55220,26670,0.057,0.0841,-0.0757,267,0,0,2,2,2,2,2,92,0.294,0.068,0,1,0,80711,4,3.7,6.0,0,2,64,1,0,0,8,6,142886,0
B10079,Lakshmi Singh,32,Mumbai,business,12.2,69381,3,0,189000,6,medical,0,8,8,1,9.3,0,41,66538,40920,25312,0.098,0.0499,-0.1154,372,0,0,2,2,2,2,2,54,0.206,0.026,0,1,0,63410,2,4.9,1.7,2,0,48,0,1,0,19,3,302139,2
B10080,Diya Nair,25,Ahmedabad,salaried,5.9,54949,6,4,129000,12,medical,0,3,3,1,17.1,0,47,53061,34341,13742,0.083,0.0144,0.0269,371,0,0,2,0,2,2,1,87,0.258,0.093,0,1,0,57500,3,3.7,8.5,2,3,56,0,0,0,14,6,0,1
B10081,Rahul Rao,53,Bengaluru,self-employed,14.9,80567,4,2,175000,3,medical,0,5,5,0,1.0,0,0,77533,53205,29754,0.064,0.0352,0.1109,307,0,0,1,2,2,2,2,67,0.376,0.062,0,4,1,72037,3,4.0,8.9,2,0,81,4,0,0,26,5,380811,0
B10082,Nikhil Mehta,42,Kochi,self-employed,2.0,15812,1,3,135000,18,medical,0,1,1,0,1.5,0,0,17191,12433,14546,0.039,0.0336,-0.1319,399,2,1,0,0,0,0,0,52,0.283,0.093,0,2,0,17772,1,3.6,5.0,3,1,114,4,0,0,9,4,35325,5
B10083,Kabir Mishra,35,Bengaluru,daily-wage,2.3,50172,3,2,132000,12,personal,0,6,6,2,15.3,0,55,48280,29498,15362,0.072,-0.0852,0.1845,343,0,0,2,1,2,2,2,60,0.348,0.087,0,3,0,52836,3,3.9,6.5,2,3,26,2,1,0,13,2,58804,0
B10084,Suresh Bose,36,Bengaluru,daily-wage,2.6,27195,4,0,138000,6,personal,0,4,4,2,28.0,0,40,24774,16094,24824,0.062,-0.0043,0.0996,418,1,1,1,2,2,0,1,29,0.256,0.022,0,1,2,24738,2,4.9,12.0,4,0,34,0,1,1,7,5,51928,0
B10085,Nikhil Nair,37,Mumbai,salaried,4.0,32996,3,1,62000,6,education,0,4,4,1,20.8,0,57,34459,22678,9303,0.053,0.0742,0.0841,298,0,0,1,2,2,2,2,67,0.297,0.079,0,1,0,32353,5,3.8,3.0,3,0,20,2,1,1,28,6,0,1
B10086,Rohan Mishra,31,Mumbai,self-employed,1.6,33654,5,2,105000,12,education,0,6,6,1,16.0,0,27,35362,21260,7248,0.054,-0.028,-0.2296,368,1,0,2,2,2,2,2,75,0.356,0.071,0,3,1,33591,5,3.8,1.7,0,3,74,4,0,0,32,3,40328,1
B10087,Ishaan Reddy,25,Pune,self-employed,4.4,37062,6,2,323000,18,medical,0,5,4,4,11.6,0,44,36879,21016,25808,0.036,-0.0825,0.088,411,2,0,1,0,2,2,0,62,0.193,0.239,0,2,0,36976,0,0,2.8,0,0,110,1,1,1,7,3,55730,5
B10088,Deepak Kulkarni,36,Jaipur,self-employed,0.9,26630,6,1,120000,12,business,0,2,0,2,13.7,2,46,27946,17582,20095,0.113,0.0173,-0.0035,390,0,0,0,0,2,1,0,70,0.319,0.144,0,3,0,31248,1,4.8,1.9,4,1,54,1,2,0,0,4,7768,2
